budget,revenue,popularity,vote_average,runtime,original_language,imdb_rating,year,month,season,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_TV_Movie,genre_Thriller,genre_War,genre_Western,director_is_top,actor_is_top,roi,hit
18000000.0,77200000.0,3.6926,7.5,130.0,en,7.7,1986,9,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3.2888888888888888,1
1200000.0,1500000.0,1.7439,7.8,99.0,en,8.1,1942,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.25,0
500000.0,3000000.0,3.5616,7.054,112.0,en,7.2,1973,10,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,0
17500000.0,38000000.0,4.8517,7.719,122.0,en,8.1,2004,12,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.1714285714285715,1
4000000.0,13275000.0,5.2088,8.0,137.0,en,8.3,1959,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2.31875,0
130000.0,186757.0,1.6794,7.7,93.0,de,8.0,1974,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.43659230769230767,0
1500000.0,4500000.0,3.3649,7.5,111.0,en,7.6,1955,10,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
2000000.0,11540607.0,3.006,7.4,118.0,en,7.5,1999,9,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7703035,0
10000000.0,33697647.0,7.1207,7.2,91.0,en,7.0,1983,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.3697647,1
393750.0,2000000.0,3.7861,7.5,75.0,en,7.8,1935,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4.079365079365079,0
10000000.0,2494480.0,2.1432,7.0,94.0,en,7.1,1983,10,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.750552,0
8000000.0,52289686.0,9.6893,7.838,89.0,en,8.1,1986,8,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.53621075,1
3000000.0,15119639.0,2.9851,6.8,106.0,en,7.3,1994,9,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.039879666666667,0
6400000.0,2500000.0,2.4487,5.8,93.0,en,6.3,2003,9,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-0.609375,0
2900000.0,25000000.0,6.8254,8.1,123.0,en,8.2,1959,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7.620689655172414,1
34000000.0,50283563.0,5.6761,7.1,119.0,en,7.2,1994,8,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.4789283235294118,1
30000000.0,47100000.0,2.9979,7.1,113.0,en,7.4,2000,3,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.57,1
672000.0,10001781.0,4.461,7.6,104.0,en,7.9,1933,4,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13.883602678571428,0
2500000.0,34196922.0,13.1396,7.241,116.0,ja,7.4,2003,9,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6787688,1
2900000.0,5000000.0,1.6199,7.3,136.0,en,7.1,1961,12,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7241379310344828,0
3000000.0,4000000.0,6.5521,7.482,100.0,en,7.8,1971,6,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0
350000.0,1500000.0,1.1866,7.3,90.0,fr,7.5,1968,9,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.2857142857142856,0
50000000.0,42580321.0,4.1766,6.7,130.0,en,6.8,2005,9,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.14839358,1
3000000.0,17570324.0,1.9153,7.6,108.0,en,7.9,1958,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8567746666666665,1
19000000.0,2536000.0,3.5831,7.8,109.0,en,7.8,1982,12,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.8665263157894737,0
900000.0,528428.0,1.8958,7.0,103.0,fr,7.4,1963,10,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.41285777777777777,0
